Scenario_ID,Type,N_Chargers,Lat,Lng,Hub_ID
Smart_25,Smart,25,41.41101669985449,2.185868639323762,15
Smart_25,Smart,25,41.43839821221643,2.194245708043484,16
Smart_25,Smart,25,41.384691569959244,2.1518445096972143,17
Smart_25,Smart,25,41.436030952109945,2.147643793661077,18
Smart_25,Smart,25,41.40178974001589,2.129952233296028,19
Smart_25,Smart,25,41.408350880673034,2.2144257697510232,20
Smart_25,Smart,25,41.37634385316241,2.13291576050622,21
Smart_25,Smart,25,41.424663841467655,2.1709275694985166,22
Smart_25,Smart,25,41.39541993990097,2.192834515906531,23
Smart_25,Smart,25,41.40545284545145,2.1765351648152427,24
Smart_25,Smart,25,41.417392432840686,2.201283066591975,25
Baseline_50,Baseline,50,41.411918222577775,2.166748595461203,1
Baseline_50,Baseline,50,41.40707979459228,2.1781532772961283,2
Baseline_50,Baseline,50,41.39014163822003,2.1386268259069925,3
Baseline_50,Baseline,50,41.38565646683746,2.1368396006091315,4
Baseline_50,Baseline,50,41.37673996818726,2.192326834537548,5
Baseline_50,Baseline,50,41.41936831600241,2.1874796905090865,6
Baseline_50,Baseline,50,41.38012924379176,2.1895406300319364,7
Baseline_50,Baseline,50,41.37983329781133,2.16762500159338,8
Baseline_50,Baseline,50,41.42275494172353,2.1675437146931755,9
Baseline_50,Baseline,50,41.38749408090988,2.191260561348932,10
Baseline_50,Baseline,50,41.388592079439384,2.1618918143791634,11
Baseline_50,Baseline,50,41.37861301550234,2.155119396972361,12
Baseline_50,Baseline,50,41.39607473744314,2.135979089388623,13
Baseline_50,Baseline,50,41.39947576861663,2.132044173331376,14
Baseline_50,Baseline,50,41.39967696497802,2.14442580030639,15
Baseline_50,Baseline,50,41.42613745908083,2.1584626159929234,16
Baseline_50,Baseline,50,41.37690738181184,2.1363683233799176,17
Baseline_50,Baseline,50,41.37431217117576,2.1904032163655827,18
Baseline_50,Baseline,50,41.41031384452289,2.14153200881926,19
Baseline_50,Baseline,50,41.40931440066864,2.119102534267319,20
Baseline_50,Baseline,50,41.43642148854853,2.185277246668569,21
Baseline_50,Baseline,50,41.42476395879186,2.198511568957986,22
Baseline_50,Baseline,50,41.448023913261096,2.201531041071877,23
